486	40	6	7
485	39	6	7
485	42	6	6
485	42	6	6
484	41	6	6
484	42	6	6
483	42	6	5
484	42	6	5
482	43	6	6
481	43	6	5
482	44	6	6
482	44	6	6
481	45	5	6
480	46	6	6
480	47	6	7
479	46	6	6
479	47	6	6
479	48	6	5
478	49	6	6
478	49	5	6
476	49	6	6
476	50	6	6
476	49	6	6
475	49	6	6
475	51	5	5
476	52	5	5
474	52	6	6
473	51	6	6
473	52	6	6
474	53	6	6
472	53	6	7
472	53	7	7
471	54	6	7
471	55	6	6
470	56	5	6
470	55	6	5
469	56	6	5
470	57	6	6
469	58	6	6
468	58	6	6
469	58	5	5
468	58	6	5
468	59	5	6
466	59	6	5
467	61	6	5
467	60	6	5
467	61	5	5
467	62	5	5
466	62	5	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
466	61	4	5
460	69	4	4
459	70	4	4
459	71	4	5
460	70	4	5
459	71	4	6
459	71	5	7
457	71	5	7
458	71	5	7
456	73	5	7
457	72	5	6
455	73	6	6
456	73	6	6
456	74	6	6
455	75	6	6
454	75	6	7
454	75	6	7
454	77	6	7
454	77	6	7
454	79	6	7
452	77	6	6
453	79	6	6
453	80	5	6
451	80	6	6
452	81	5	6
450	80	6	6
450	81	6	6
450	83	6	6
450	83	6	6
449	83	5	6
450	83	5	6
449	85	5	6
448	84	5	6
447	84	6	6
447	85	5	6
448	87	5	6
448	88	5	5
447	88	5	6
447	87	5	6
445	88	5	6
445	89	5	6
446	89	5	6
445	89	5	6
444	91	4	5
444	92	4	5
444	91	4	6
444	91	4	6
438	95	4	7
437	93	5	7
438	92	6	8
438	92	7	8
439	90	6	8
438	91	6	9
439	89	6	9
439	88	7	9
439	88	6	9
439	88	6	9
439	88	7	8
440	88	7	8
441	87	7	8
441	86	7	8
440	84	7	8
441	85	7	8
443	84	7	8
442	82	6	9
444	83	6	8
444	84	6	8
443	83	7	8
444	83	7	8
444	82	7	8
444	82	7	7
445	81	7	8
443	80	8	8
446	79	8	7
446	79	7	7
448	78	7	7
446	79	7	7
447	78	7	7
448	78	7	7
449	77	7	8
448	76	7	7
448	75	8	8
449	75	8	7
450	74	7	7
450	74	7	7
451	74	7	7
451	73	7	7
450	73	7	8
452	74	7	7
452	71	7	7
452	72	7	7
453	72	7	7
452	70	7	7
454	70	7	7
453	70	7	7
454	69	7	8
455	70	7	8
455	69	6	7
456	69	6	8
455	69	6	7
456	69	6	7
457	67	5	6
456	69	5	6
457	68	5	6
457	69	5	6
457	68	5	5
458	69	4	5
458	69	4	5
458	69	4	5
458	69	4	5
458	69	4	5
465	60	5	5
463	61	5	6
463	61	5	5
464	61	5	5
465	59	6	6
464	59	7	6
465	59	7	7
464	58	7	7
465	58	7	8
464	57	7	7
465	56	7	8
466	57	7	7
467	56	7	7
467	55	8	7
467	55	8	8
467	55	7	7
467	54	7	9
468	53	7	8
468	53	7	8
469	53	7	7
470	52	7	7
469	52	8	7
469	52	7	7
469	52	8	7
470	51	8	7
470	51	8	7
472	50	7	6
472	50	7	7
472	49	7	6
472	49	7	6
473	49	7	7
474	49	7	7
473	46	7	7
474	46	7	7
475	46	7	7
475	46	7	7
476	46	7	8
475	45	7	7
475	45	7	7
475	45	8	7
477	44	7	8
477	43	8	8
477	43	7	8
478	42	7	7
479	41	8	7
479	41	8	8
478	41	8	8
479	41	7	7
480	40	7	7
479	40	7	7
480	39	7	7
480	39	8	7
482	38	7	7
482	38	7	7
482	37	8	7
482	39	8	7
483	36	7	6
484	37	7	7
484	35	8	8
483	35	8	7
484	35	7	7
484	35	7	7
485	35	7	7
486	34	7	7
487	33	7	7
487	33	7	7
488	34	8	7
487	33	8	8
488	33	8	8
489	32	8	8
489	32	7	7
488	31	7	7
490	31	7	7
